,country_code,country_name,location
0,,Germany,aachen
1,,Nigeria,abuja
2,,Mexico,acapulco
3,,Ghana,accra
4,,Morocco,agadir
5,,Turkey,agri
6,,Mexico,aguascalientes
7,,France,aix provence
8,,France,ajaccio
9,,Japan,akishima
10,,Nigeria,akko
11,,Kazakhstan,aktobe
12,,Australia,albury
13,,Italy,alessandria
14,,Algeria,algeria
15,,Spain,alicante
16,,The Netherlands,alkmaar
17,,Kazakhstan,almaty
18,,Netherlands,alphen
19,,Netherlands,alphen aan den rijn
20,,The Netherlands,amersfoort
21,,China,an-ning
22,,Uzbekistan,andijan
23,,Italy,andria
24,,France,angers
25,,China,anning
26,,South Korea,anseong
27,,Turkey,antalya
28,,Belgium,antwerp
29,,Italy,appiano
30,,United States of America,aptos
31,,Romania,arad
32,,United States of America,arcadia
33,,Argentina,argentina
34,,Belgium,arlon
35,,Armenia,armenia
36,,Kazakhstan,astana
37,,astana2,astana2
38,,Paraguay,asuncion
39,,Greece,athens
40,,United States,atlanta
41,,atp challenger tour finals,atp challenger tour finals
42,,New Zealand,auckland
43,,Germany,augsburg
44,,United States of America,austin
45,,Australia,australia
46,,Australia,australian open
47,,Austria,austria
48,,Azerbaijan,azerbaijan
49,,Romania,bacau
50,,Germany,bad salzdetfurth
51,,Germany,bad schussenried
52,,France,bagneres bigorre
53,,France,bagnoles l'orne
54,,Bahrain,bahrain
55,,Brazil,baja
56,,United States of America,bakersfield
57,,Spain,bakio
58,,Hungary,balatonalmadi
59,,India,bangalore
60,,Thailand,bangkok
61,,bangkok2,bangkok2
62,,Bosnia and Herzegovina,banja luka
63,,China,baotou
64,,Spain,barcelona
65,,Italy,barletta
66,,United Kingdom,barnstaple
67,,Colombia,barranquilla
68,,Switzerland,basel
69,,Sweden,bastad
70,,United Kingdom,bath
71,,Turkey,batman
72,,United States of America,baton rouge
73,,China,beijing
74,,Belarus,belarus
75,,Palestinian Territory,belem
76,,Belgium,belgium
77,,belgium moved from july,belgium moved from july
78,,Serbia,belgrade
79,,Brazil,belo horizonte
80,,belo horizonte2,belo horizonte2
81,,India,bengaluru
82,,Spain,benicarlo
83,,Belgium,bercuit
84,,Italy,bergamo
85,,Italy,biella
86,,United States of America,binghamton
87,,France,blois
88,,Brazil,blumenau
89,,Colombia,bogota
90,,bogota2,bogota2
91,,bogota3,bogota3
92,,Bolivia,bolivia
93,,United Kingdom,bolton
94,,Italy,bolzano
95,,France,bordeaux
96,,Bosnia and Herzegovina,bosnia &amp; herzegovina
97,,Bosnia and Herzegovina,bosnia herzegovina
98,,France,bourg bresse
99,,United States of America,bradenton
100,,Portugal,braga
101,,Brazil,brasilia
102,,Romania,brasov
103,,Slovakia,bratislava
104,,braunchweig,braunchweig
105,,Germany,braunschweig
106,,Brazil,brazil
107,,Bosnia and Herzegovina,brcko
108,,Italy,brescia
109,,France,bressuire
110,,France,brest
111,,France,brieuc
112,,Australia,brisbane
113,,Belgium,brussels
114,,Colombia,bucaramanga
115,,Romania,bucharest
116,,Hungary,budapest
117,,Argentina,buenos aires
118,,buenos aires2,buenos aires2
119,,Uzbekistan,bukhara
120,,Bulgaria,bulgaria
121,,Bulgaria,burgas
122,,Australia,burnie
123,,Burundi,burundi
124,,South Korea,busan
125,,Poland,bydgoszcz
126,,Poland,bytom
127,,Mexico,cabo san lucas
128,,Australia,cairns
129,,Egypt,cairo
130,,United States,calabasas
131,,Canada,calgary
132,,Colombia,cali
133,,Australia,caloundra
134,,Italy,caltanissetta
