,country_name,location,country_code,climate
0,Algeria,algeria,DZA,tropical_dry
1,Argentina,argentina,ARG,tropical_dry
2,Argentina,buenos aires,ARG,tropical_dry
3,Argentina,cordoba,ARG,tropical_dry
4,Argentina,corrientes,ARG,tropical_dry
5,Argentina,mendoza,ARG,tropical_dry
6,Argentina,pinamar,ARG,tropical_dry
7,Argentina,quinta lago,ARG,tropical_dry
8,Argentina,san remo,ARG,tropical_dry
9,Argentina,tigre,ARG,tropical_dry
10,Armenia,armenia,ARM,tempered
11,Australia,albury,AUS,tropical_dry
12,Australia,australia,AUS,tropical_dry
13,Australia,australian open,AUS,tropical_dry
14,Australia,brisbane,AUS,tropical_dry
15,Australia,burnie,AUS,tropical_dry
16,Australia,cairns,AUS,tropical_dry
17,Australia,caloundra,AUS,tropical_dry
18,Australia,canberra,AUS,tropical_dry
19,Australia,darwin,AUS,tropical_dry
20,Australia,launceston,AUS,tropical_dry
21,Australia,melbourne,AUS,tropical_dry
22,Australia,mildura,AUS,tropical_dry
23,Australia,mornington,AUS,tropical_dry
24,Australia,playford,AUS,tropical_dry
25,Australia,sydney,AUS,tropical_dry
26,Australia,toowoomba,AUS,tropical_dry
27,Australia,traralgon,AUS,tropical_dry
28,Australia,vic,AUS,tropical_dry
29,Austria,austria,AUT,tempered
30,Austria,kitzbuhel,AUT,tempered
31,Austria,kramsach,AUT,tempered
32,Austria,salzburg,AUT,tempered
33,Austria,telfs,AUT,tempered
34,Austria,vienna,AUT,tempered
35,Austria,vogau,AUT,tempered
36,Austria,wels,AUT,tempered
37,Azerbaijan,azerbaijan,AZE,tropical_dry
38,Bahrain,bahrain,BHR,tropical_dry
39,Bahrain,manama,BHR,tropical_dry
40,Belarus,belarus,BLR,tempered
41,Belarus,minsk,BLR,tempered
42,Belgium,antwerp,BEL,tempered
43,Belgium,arlon,BEL,tempered
44,Belgium,belgium,BEL,tempered
45,Belgium,belgium moved from july,BEL,tempered
46,Belgium,bercuit,BEL,tempered
47,Belgium,brussels,BEL,tempered
48,Belgium,eupen,BEL,tempered
49,Belgium,koksijde,BEL,tempered
