,country_name,location
0,Germany,aachen
1,Nigeria,abuja
2,Mexico,acapulco
3,Ghana,accra
4,Morocco,agadir
5,Turkey,agri
6,Mexico,aguascalientes
7,France,aix provence
8,France,ajaccio
9,Japan,akishima
10,Nigeria,akko
11,Kazakhstan,aktobe
12,Australia,albury
13,Italy,alessandria
14,Algeria,algeria
15,Spain,alicante
16,The Netherlands,alkmaar
17,Kazakhstan,almaty
18,Netherlands,alphen
19,Netherlands,alphen aan den rijn
20,The Netherlands,amersfoort
21,Uzbekistan,andijan
22,Italy,andria
23,France,angers
24,China,anning
25,South Korea,anseong
26,Turkey,antalya
27,Belgium,antwerp
28,Italy,appiano
29,United States of America,aptos
30,Romania,arad
31,United States of America,arcadia
32,Argentina,argentina
33,Belgium,arlon
34,Armenia,armenia
35,Kazakhstan,astana
36,Paraguay,asuncion
37,Greece,athens
38,United States,atlanta
39,atp challenger tour finals,atp challenger tour finals
40,New Zealand,auckland
41,Germany,augsburg
42,United States of America,austin
43,Australia,australia
44,Australia,australian open
45,Austria,austria
46,Azerbaijan,azerbaijan
47,Romania,bacau
48,Germany,bad salzdetfurth
49,Germany,bad schussenried
50,France,bagneres bigorre
51,France,bagnoles lorne
52,Bahrain,bahrain
53,Brazil,baja
54,United States of America,bakersfield
55,Spain,bakio
56,Hungary,balatonalmadi
57,India,bangalore
58,Thailand,bangkok
59,Bosnia and Herzegovina,banja luka
60,China,baotou
61,Spain,barcelona
62,Italy,barletta
63,United Kingdom,barnstaple
64,Colombia,barranquilla
65,Switzerland,basel
66,Sweden,bastad
67,United Kingdom,bath
68,Turkey,batman
69,United States of America,baton rouge
70,China,beijing
71,Belarus,belarus
72,Palestinian Territory,belem
73,Belgium,belgium
74,belgium moved from july,belgium moved from july
75,Serbia,belgrade
76,Brazil,belo horizonte
77,India,bengaluru
78,Spain,benicarlo
79,Belgium,bercuit
80,Italy,bergamo
81,Italy,biella
82,United States of America,binghamton
83,France,blois
84,Brazil,blumenau
85,Colombia,bogota
86,Bolivia,bolivia
87,United Kingdom,bolton
88,Italy,bolzano
89,France,bordeaux
90,Bosnia and Herzegovina,bosnia amp herzegovina
91,Bosnia and Herzegovina,bosnia herzegovina
92,France,bourg bresse
93,United States of America,bradenton
94,Portugal,braga
95,Brazil,brasilia
96,Romania,brasov
97,Slovakia,bratislava
98,braunchweig,braunchweig
99,Germany,braunschweig
100,Brazil,brazil
101,Bosnia and Herzegovina,brcko
102,Italy,brescia
103,France,bressuire
104,France,brest
105,France,brieuc
106,Australia,brisbane
107,Belgium,brussels
108,Colombia,bucaramanga
109,Romania,bucharest
110,Hungary,budapest
111,Argentina,buenos aires
112,Uzbekistan,bukhara
113,Bulgaria,bulgaria
114,Bulgaria,burgas
115,Australia,burnie
116,Burundi,burundi
117,South Korea,busan
118,Poland,bydgoszcz
119,Poland,bytom
120,Mexico,cabo san lucas
121,Australia,cairns
122,Egypt,cairo
123,United States,calabasas
124,Canada,calgary
125,Colombia,cali
126,Australia,caloundra
127,Italy,caltanissetta
128,Cambodia,cambodia
129,Cameroon,cameroon
130,Brazil,campinas
131,Brazil,campos jordao
132,Canada,canada
133,Canada,canada masters
134,Australia,canberra
135,Mexico,cancun
136,United States,carson
137,United States of America,cary
138,Morocco,casablanca
139,Italy,casale monferrato
140,Italy,casinalbo
141,France,cassis
142,Portugal,castelo branco
143,challenger tour finals,challenger tour finals
144,United States,champaign
145,champaignurbana,champaignurbana
146,South Korea,changwon
147,United States,charlottesville
